INSTNM,SAT_AVG,UGDS,COSTT4_A,TUITIONFEE_OUT,TUITFTE,AVGFACSAL,PFTFAC,C150_4,PFTFTUG1_EF
Massachusetts College of Liberal Arts,1032,1483,20025,17470,5558,8113,1,0.5659,0.6159
Seton Hill University,1032,1550,40497,30300,14168,6822,0.9815,0.6113,0.5191
Dominican University,1031,2020,36307,28810,14554,6685,0.4464,0.6311,0.7634
University of Toledo,1031,15440,21263,18395,10874,8426,0.7192,0.4543,0.7087
University of Memphis,1031,16178,20899,23024,7413,8304,0.6415,0.432,0.5594
San Jose State University,1030,25723,21160,18503,7238,9155,0.4021,0.4809,0.4769
Simpson University,1030,1024,33889,23300,12950,6144,1,0.4724,0.4515
Concordia University-Chicago,1030,1563,34774,27598,13210,4134,0.6216,0.5348,0.6074
Benedictine University,1030,3739,35481,25516,11908,7686,0.2385,0.5247,0.4856
North Park University,1030,2190,31065,23350,15687,7535,1,0.563,0.5708
University of Northern Iowa,1030,10170,19233,17181,5818,8062,0.7542,0.6649,0.6073
Emporia State University,1030,3724,15612,17388,6666,6268,0.9122,0.4054,0.5734
Louisiana State University-Shreveport,1030,2796,15066,5606,3410,6279,0.7316,0.3255,0.2597
McNeese State University,1030,6777,14823,16603,4070,6410,1,0.3817,0.5677
Nicholls State University,1030,5682,16071,15959,4893,5785,1,0.4126,0.6353
Southeastern Louisiana University,1030,11704,15729,17734,4439,6335,0.7988,0.3582,0.5023
Hood College,1030,1347,45230,33280,14552,7078,0.4024,0.6644,0.6675
Northern Michigan University,1030,7959,18466,14113,7488,7442,0.6967,0.4829,0.7295
Western Michigan University,1030,18755,22483,24109,10693,9016,0.623,0.5491,0.6134
Minnesota State University-Mankato,1030,12542,17578,15036,5622,8155,0.606,0.4904,0.5781
Campbell University,1030,4463,40323,26240,10521,7536,0.4595,0.4893,0.4364
Cleveland State University,1030,11484,22041,12678,10476,8624,1,0.3198,0.4518
Hiram College,1030,1260,42672,30290,14846,5420,0.5405,0.6456,0.7533
Mount Carmel College of Nursing,1030,947,25491,11675,12131,6657,0.6531,0.5595,0.3554
University of Central Oklahoma,1030,15119,16684,13551,5618,6382,0.9819,0.3562,0.5222
Winthrop University,1030,4704,24595,26240,8375,7223,0.5952,0.5587,0.615
Northern State University,1030,1758,17334,9562,4979,6801,0.9153,0.4853,0.319
Memphis College of Art,1030,367,37855,27500,15765,5255,0.4423,0.4722,0.7872
Liberty University,1030,47079,31344,20768,9565,4102,0.6333,0.5017,0.2791
Marymount University,1030,2371,36832,26430,18584,8270,0.4316,0.5758,0.5688
Washington State University,1030,22825,26292,25409,10434,8547,0.7903,0.6548,0.61
University of Wisconsin-Whitewater,1030,10438,16107,15151,6665,7073,0.987,0.5483,0.6675
University of Wisconsin-Oshkosh,1030,10633,16935,14974,5707,6793,0.9882,0.5351,0.3747
University of Wisconsin-Stout,1030,8094,18192,16714,5612,6504,0.9763,0.5426,0.6697
University of Wisconsin-Milwaukee,1030,21747,21203,19029,8308,8037,0.9599,0.4141,0.5972
University of Wisconsin-River Falls,1030,5506,16682,15293,6045,7066,0.9814,0.5141,0.6549
University of Northern Colorado,1029,9525,19105,18507,9051,7487,0.6597,0.4638,0.6727
Rockford University,1029,963,37253,26710,13521,5567,0.4464,0.3947,0.2747
Murray State University,1029,7956,16397,19164,7185,7145,0.7614,0.5291,0.484
Springfield College,1029,2157,44829,32560,15822,8240,1,0.6856,0.8557
Central Michigan University,1029,20070,21523,23670,9329,8603,0.6836,0.5929,0.6241
Hannibal-LaGrange University,1029,921,27560,18770,8563,5168,1,0.6567,0.3271
University of North Carolina at Greensboro,1029,14138,17362,20180,5580,7926,0.821,0.5541,0.5784
Springfield College-School of Human Services,1029,1319,NA,NA,9190,7648,1,NA,NA
University of North Alabama,1028,5536,15058,12670,6530,7152,0.9882,0.3216,0.5663
Faith Baptist Bible College and Theological Seminary,1028,220,24930,15546,9772,4992,0.6,0.5934,0.7407
Morehead State University,1028,7344,17805,18746,5386,6527,0.7745,0.4035,0.7489
Avila University,1028,1336,34898,24950,12257,6747,0.3391,0.4912,0.5014
Ohio Dominican University,1028,1483,40370,28932,12100,6712,1,0.4092,0.3207
Bryn Athyn College of the New Church,1028,269,25576,17724,7331,7304,1,0.5854,0.8511
Bluffton University,1027,941,40078,28504,10693,5189,0.9178,0.5971,0.6944
Columbia College,1027,995,37599,26800,12071,5435,0.5891,0.4244,0.452
Cardinal Stritch University,1027,2680,37563,25450,11171,6163,0.2215,0.4162,0.4333
Clearwater Christian College,1026,491,28463,17125,11037,4964,0.56,0.5366,0.7143
Maine Maritime Academy,1026,994,23673,22770,15845,3639,1,0.752,0.6078
SUNY College at Plattsburgh,1026,5494,20371,16629,5027,6830,0.5556,0.6033,0.5979
Saint Francis University,1026,1665,42492,29992,13397,7194,1,0.7146,0.9901
East Tennessee State University,1026,11399,22485,22561,6934,6711,0.6949,0.4129,0.5978
Appalachian Bible College,1026,204,22543,12945,6377,2978,1,0.6207,0.3922
Oregon Institute of Technology,1025,3443,18801,22188,6574,6667,0.8969,0.444,0.1896
Widener University-Main Campus,1025,3188,50294,38028,21499,7473,0.4351,0.5601,0.8345
Widener University-Delaware Campus,1025,105,24366,13050,21292,12489,0.314,0.8,0.1622
Widener University-Harrisburg Campus,1025,NA,NA,NA,19735,11765,0.4878,NA,NA
Marian University,1024,2054,39369,28400,13214,5762,0.4569,0.524,0.4441
Northern Kentucky University,1024,11976,14603,16464,8624,6780,0.9887,0.3792,0.6092
Rocky Mountain College,1024,961,32987,23718,11160,5787,0.6339,0.4033,0.7147
Florida Gulf Coast University,1024,12795,18097,25440,4700,7382,0.6817,0.4416,0.6831
Wheeling Jesuit University,1023,1139,34213,27830,13619,5731,0.6197,0.5375,0.7003
Johnson University,1022,826,19898,10800,7453,5485,1,0.5723,0.675
Marshall University,1022,9098,16361,14446,5686,6867,0.7287,0.4438,0.6275
California State University-Fullerton,1021,33000,16663,17346,6147,8521,0.4622,0.5347,0.4732
Midwestern Baptist Theological Seminary,1021,255,19623,6320,4168,4976,0.8889,0.1304,0.4146
West Virginia Wesleyan College,1021,1356,38796,26794,10171,5516,0.6742,0.601,0.9199
Ottawa University-Phoenix,1020,335,NA,NA,7555,5768,0.9286,NA,NA
Concordia University-Irvine,1020,1916,41233,29630,12540,7044,0.3442,0.6256,0.6175
Ottawa University-Ottawa,1020,533,35017,23964,9954,5650,0.9623,0.3354,0.7701
Ottawa University-Kansas City,1020,246,NA,NA,3389,999,1,NA,NA
CUNY Lehman College,1020,9020,12957,12618,4011,7271,0.4767,0.3696,0.1986
School of Visual Arts,1020,3469,48993,32270,30808,4887,0.1403,0.6459,0.6643
Southern Oregon University,1020,4436,18285,19900,5643,7096,0.6789,0.367,0.3156
Ottawa University-Milwaukee,1020,289,NA,NA,7776,5519,NA,NA,NA
Ottawa University-Jeffersonville,1020,87,NA,NA,5198,6250,NA,NA,NA
Ottawa University-Online,1020,379,NA,NA,35041,7992,1,NA,NA
Hebrew Theological College,1019,458,33966,18605,4231,5525,0.2963,0.0484,0.9605
University of the Cumberlands,1019,1545,30993,20000,8642,5417,0.5668,0.4345,0.5661
University of Indianapolis,1018,4108,36158,24660,13724,6903,0.9885,0.571,0.7048
Gardner-Webb University,1018,2559,35790,25830,9951,6413,1,0.569,0.5345
Ursuline College,1018,798,35976,26720,16468,5748,0.3349,0.5,0.4904
Pacific Union College,1017,1601,38800,27480,16425,6452,0.9,0.4452,0.668
Eastern Connecticut State University,1017,4920,22633,20881,6540,8091,1,0.508,0.5698
Manchester University,1017,1188,38505,27920,10893,6924,0.7676,0.4873,0.9362
Tabor College,1017,706,35960,22730,9629,4248,1,0.55,0.5679
Worcester State University,1016,5033,18494,14237,6291,8356,1,0.4882,0.5454
University of Akron Main Campus,1016,19022,21338,18418,9302,9209,0.4845,0.4166,0.6899
Baptist Bible College & Seminary of Pennsylvania,1016,606,28001,19710,10008,5764,0.8667,0.4969,0.6
Old Dominion University,1016,19483,20531,24210,5958,8729,0.9663,0.5117,0.5542
Shenandoah University,1016,1859,41369,29934,15890,7367,0.5901,0.4559,0.7545
University of Massachusetts-Boston,1015,11786,19763,27430,12102,10100,0.5202,0.4358,0.3824
Waynesburg University,1015,1559,28822,20540,11867,6633,0.2877,0.5398,0.9024
California State University-Chico,1014,15106,22926,18132,5091,8370,0.5281,0.5605,0.5617
Kansas Wesleyan University,1014,664,34402,23800,11677,5498,0.5909,0.4273,0.5593
Suffolk University,1014,5535,45280,31716,24014,8494,0.4659,0.5489,0.723
Millersville University of Pennsylvania,1014,7313,21756,18990,7466,9485,0.6477,0.6078,0.6279
Reinhardt University,1013,1191,30734,18670,10742,5710,0.3628,0.2821,0.8515
Indiana University-Purdue University-Indianapolis,1013,21569,20846,29571,10524,7713,0.5751,0.4161,0.5785
Wingate University,1013,2002,35465,25040,12360,7232,1,0.5305,0.8515
California State University-Long Beach,1012,30440,18085,17400,5322,8671,0.5029,0.6033,0.5294
Henderson State University,1011,3190,18033,13700,2994,5606,1,0.2854,0.6966
Aurora University,1011,3236,31145,20720,11016,7064,0.2335,0.576,0.6022
Eastern Michigan University,1011,18543,18905,24909,9158,8853,1,0.3844,0.5481
Middle Tennessee State University,1011,20914,17501,23002,5632,7029,0.7393,0.4565,0.6095
Jacksonville University,1010,3360,42459,29900,12056,6923,0.9793,0.3821,0.452
Eastern Illinois University,1010,8255,23346,28124,7891,7773,0.817,0.6033,0.5852
Northern Illinois University,1010,15782,27621,22072,7618,7834,0.7883,0.5095,0.5741
Saint Xavier University,1010,2891,35284,28970,12927,7886,0.4472,0.4714,0.6267
Mount Mercy University,1010,1454,37183,26310,14864,6007,1,0.7286,0.3468
Upper Iowa University,1010,4513,35190,24400,8892,5794,0.9882,0.3963,0.5074
Pittsburg State University,1010,6005,15211,15786,4634,6987,0.7627,0.5015,0.6022
Brescia University,1010,869,27219,19640,11572,5221,0.4519,0.2979,0.4352
Our Lady of the Lake College,1010,1483,21335,10532,10679,6138,0.509,0.3594,0.3579
College for Creative Studies,1010,1352,46095,35710,22452,6882,1,0.5583,0.5464
Ferris State University,1010,12646,21498,16722,9574,7942,0.6112,0.4319,0.4571
Saint Cloud State University,1010,11535,17892,15156,5008,8224,0.6295,0.478,0.2985
Southwest Minnesota State University,1010,2426,19109,8074,3689,8030,0.5176,0.4283,0.1227
William Paterson University of New Jersey,1010,9930,21990,19458,9726,10225,0.9799,0.5012,0.4555
The University of the Arts,1010,1865,52401,36582,20199,6980,1,0.6378,0.7879
Erskine College,1010,574,45198,31580,10220,5887,0.9512,0.5644,0.828
Dakota State University,1010,1743,17201,9506,6380,6855,0.7244,0.4733,0.2335
Lubbock Christian University,1010,1466,28493,18740,9939,5878,0.5526,0.4125,0.5247
University of Wisconsin-Superior,1010,2415,16953,15519,5673,6307,0.9917,0.4111,0.4392
University of California-Merced,1010,5837,30637,36038,8846,8657,0.8201,0.5674,0.9408
Eastern Kentucky University,1009,13247,17801,16608,5757,6910,0.7905,0.3888,0.5894
Western Kentucky University,1009,15780,16538,22248,7278,6983,0.6465,0.4368,0.7443
Iona College,1009,3166,44623,32770,19064,9082,0.5068,0.6258,0.6553
Art Academy of Cincinnati,1009,206,32485,24330,24802,4533,0.16,0.5313,0.8182
Bowling Green State University-Main Campus,1009,14161,22416,18034,8604,7669,0.7477,0.541,0.7815
Austin Peay State University,1009,9271,18852,21372,5498,6879,1,0.3603,0.4895
University of North Georgia,1009,14502,16525,12133,4149,5492,0.8824,0.2597,0.5925
Alaska Pacific University,1008,340,42925,29810,13615,5137,1,0.3902,0.2263
Arkansas Tech University,1008,8734,16126,10374,3247,6096,1,0.4025,0.6977
Humboldt State University,1008,7748,23113,18304,5300,8148,0.5414,0.4004,0.57
Kuyper College,1008,283,26213,18454,12964,5270,0.3934,0.4179,0.4458
Cairn University-Langhorne,1008,840,32509,22455,10853,5653,0.5351,0.6988,0.6618
The University of Texas of the Permian Basin,1008,2947,14292,13674,5242,7196,0.596,0.2688,0.3685
Union College,1007,808,31769,22000,10953,4540,0.6588,0.3418,0.7331
Northwestern State University of Louisiana,1007,7026,16605,16327,5198,5898,0.9873,0.3739,0.6756
Blue Mountain College,1007,497,16926,9470,5521,4550,0.9512,0.5088,0.4091
Shepherd University,1007,3695,14846,15840,4759,6561,0.4959,0.3792,0.5596
Lakeland College,1007,2449,32706,22950,9650,6425,0.179,0.5083,0.2536
Sonoma State University,1006,8321,23675,18394,6880,8448,0.4814,0.5392,0.6475
Central Connecticut State University,1006,9512,20372,20211,7671,8513,0.4879,0.5191,0.5128
Mount Saint Mary College,1006,2155,38808,26250,16976,8458,0.3485,0.522,0.6598
Wilmington College,1006,1163,39415,28190,11265,5915,0.9583,0.3841,0.7926
Central Methodist University-College of Graduate and Extended Studies,1006,1624,NA,NA,2852,4869,0.0435,NA,NA
Western State Colorado University,1005,1956,18875,17284,7032,6173,0.7325,0.4242,0.7468
Hawaii Pacific University,1005,5386,29762,20180,14333,8603,0.4071,0.3961,0.332
Delaware Valley College,1005,1774,44778,32890,16920,7140,0.436,0.5684,0.7894
University of Southern Indiana,1004,8764,17996,15553,4864,6363,0.5682,0.3954,0.7229
Fairleigh Dickinson University-Metropolitan Campus,1004,3915,43227,34882,17362,8296,0.2433,0.465,0.2025
Fairleigh Dickinson University-College at Florham,1004,2242,51159,37348,27238,8250,0.3457,0.5423,0.7747
Minot State University,1004,2693,14549,6086,4815,6338,0.6758,0.3732,0.3302
Emory & Henry College,1004,907,40866,28966,11878,6133,1,0.4792,0.7811
University of Southern Maine,1003,6079,22290,21280,9033,8522,0.4725,0.3356,0.3127
University of Nevada-Las Vegas,1003,22742,17478,20600,6600,9986,1,0.4288,0.5636
Otis College of Art and Design,1002,1029,52397,39430,27612,6936,1,0.5731,0.5882
Kettering College,1002,783,19993,10032,12284,6776,1,0.6271,0.3135
Slippery Rock University of Pennsylvania,1002,7544,21303,12529,6800,9336,0.8684,0.6262,0.6835
Longwood University,1002,4357,23707,24210,6371,7013,1,0.6341,0.7821
Lynchburg College,1002,2140,41818,33565,15444,7038,1,0.5619,0.7734
Georgia Regents University,1002,5456,7715,9723,8867,7938,1,0.2935,0.5007
Piedmont College,1001,1281,32031,20730,8071,5734,0.5138,0.4611,0.7147
Missouri Baptist University,1001,1710,30542,21790,9212,5248,0.24,0.4407,0.1224
College of Staten Island CUNY,1000,12974,14298,12668,3881,7198,0.3447,0.2912,0.6867
Sam Houston State University,999,16255,19173,15518,7143,7316,0.7269,0.5061,0.4889
Eastern Mennonite University,999,1148,38009,29350,14945,5903,1,0.6355,0.5786
San Francisco State University,998,25271,22267,17610,6712,9147,0.4877,0.455,0.4296
Saint Josephs College,998,1096,37135,27350,6332,5443,1,0.4367,0.716
Santa Fe University of Art and Design,998,659,41417,30136,8615,6682,NA,0.241,0.4729
SUNY College at Old Westbury,998,4045,15888,15874,4018,8055,0.4412,0.3649,0.3682
Stephen F Austin State University,998,10715,21909,19032,5908,7087,0.7964,0.4317,0.6806
Armstrong Atlantic State University,997,6206,19802,14847,4637,5620,0.9627,0.343,0.5168
Point Park University,997,3164,36726,26170,17100,7853,0.2354,0.4978,0.5019
Texas Wesleyan University,997,1719,30696,22040,18728,6803,0.586,0.4123,0.461
Lincoln Christian University,996,613,25309,16050,13726,5114,0.8868,0.4667,0.5411
Indiana University-Purdue University-Fort Wayne,996,9795,18837,16845,5645,7355,0.9353,0.2594,0.3458
Wheelock College,996,839,45591,31880,16294,6999,0.7391,0.5446,0.7388
La Salle University,996,4228,47134,38200,16930,9266,0.4142,0.6443,0.7591
LaGrange College,995,854,37305,25690,13383,5532,1,0.375,0.7695
Westfield State University,995,5524,19468,14774,7287,8356,0.4685,0.585,0.6965
Mississippi University for Women,995,2252,15935,15360,4384,5914,0.6463,0.366,0.233
Grace University,995,410,27873,18256,8357,5045,0.3676,0.5244,0.6
Schreiner University,995,1051,33631,22484,11488,5712,0.595,0.4084,0.7686
West Texas A & M University,994,6890,17553,7220,5769,7359,0.7562,0.403,0.5635
University of Michigan-Flint,993,6746,16731,18238,9811,7606,0.545,0.3754,0.3636
Concordia University-Portland,993,1378,35963,27492,13342,7401,0.2227,0.5549,0.4339
Wilson College,993,468,39818,29370,11650,6535,0.9773,0.5732,0.5385
Coastal Carolina University,993,8570,21601,22770,11355,7130,1,0.4584,0.6842
Black Hills State University,993,3156,15906,9617,6118,6666,0.8645,0.3347,0.3547
Texas A & M University-Texarkana,993,1391,14147,14002,5426,8052,0.2827,NA,0.3621
Midwestern State University,993,5192,15704,9615,6401,7118,0.7671,0.4422,0.5749
Bridgewater State University,991,9489,19303,14193,7711,8315,1,0.5751,0.5547
Concordia University-Saint Paul,991,1927,40267,19700,10307,4358,0.2345,0.4627,0.2511
University of Charleston,991,1373,32147,19650,11740,6012,0.6534,0.4568,0.4322
Troy University,990,16208,16877,13612,8133,5996,0.4007,0.3466,0.4673
Fort Hays State University,990,11064,15395,12821,5138,6488,0.8639,0.4471,0.2982
Stevenson University,990,3923,38785,27082,13905,9724,0.2977,0.5613,0.7416
Rochester College,990,960,26399,19920,11665,4144,0.8298,0.4301,0.4213
Saginaw Valley State University,990,8687,17876,19776,7793,7489,0.4233,0.3894,0.6594
Siena Heights University,990,2325,31980,21890,9187,5676,0.9785,0.431,0.3456
Bemidji State University,990,4397,18166,8124,4881,7669,0.6101,0.4758,0.5028
University of Central Missouri,990,9160,18355,13659,6183,6867,0.9939,0.5358,0.5155
Missouri Southern State University,990,5132,14143,10225,3721,6592,1,0.3708,0.449
Southwestern Oklahoma State University,990,3985,16660,11820,3700,6233,1,0.3292,0.6188
Bloomsburg University of Pennsylvania,990,9245,21732,18706,7691,8655,0.8296,0.6182,0.7827
Hampton University,990,3529,32358,20724,11388,7455,0.9859,0.6751,0.7886
University of Wisconsin-Parkside,990,4354,15218,14889,4901,6277,0.9847,0.3073,0.5641
Southern Arkansas University Main Campus,989,2640,17738,10616,3465,6077,0.6831,0.2973,0.7402
Vaughn College of Aeronautics and Technology,989,1721,30790,20450,14328,9139,1,0.3646,0.572
Cincinnati Christian University,989,669,25900,15266,9940,5323,0.2804,0.3894,0.5892
College of Mount St Joseph,989,1655,31989,25800,15013,6401,1,0.5821,0.629
Alderson Broaddus University,989,1032,33057,22740,9586,4924,1,0.4575,0.8359
Oakland City University,988,587,31104,19200,10681,3610,0.7989,0.6299,0.1549
University of Saint Mary,988,782,31515,23170,12320,5695,1,0.5303,0.3768
Woodbury University,987,1353,42465,33150,21113,9365,0.2633,0.4465,0.3276
Fitchburg State University,987,4148,17686,15065,6004,8371,0.5562,0.5029,0.6096
Texas A & M University-Commerce,987,6951,18487,17203,7721,7743,0.5806,0.4518,0.4444
San Diego Christian College,986,889,37696,25888,18089,5271,0.2844,0.4125,0.4433
Salem State University,986,7134,20601,14270,6709,8765,0.9972,0.4558,0.5097
The College of New Rochelle,986,3207,43273,31260,12484,8030,0.2377,0.2634,0.6418
Cumberland University,986,1198,33402,20200,9749,5864,0.4067,0.3714,0.4501
Central Washington University,986,9958,21401,20886,6413,7306,0.6774,0.5132,0.4676
Campbellsville University,985,2213,31545,22196,8816,5692,1,0.4377,0.3314
Catawba College,985,1273,37818,26820,17950,6342,1,0.5263,0.6893
California Baptist University,984,5797,39026,28122,18014,8355,0.4779,0.5808,0.5488
Columbus State University,984,6849,17029,15556,5949,6212,0.6241,0.3012,0.5283
Tarleton State University,984,11328,17709,14352,5831,7074,0.5227,0.4336,0.4743
West Liberty University,984,2412,18406,13540,4915,6482,1,0.4148,0.5467
Crown College,983,1095,34574,22430,11569,4584,0.2467,0.5563,0.66
Lake Erie College,983,839,39085,27368,10917,6327,1,0.4473,0.7007
Muskingum University,983,1641,33630,23662,10871,7269,0.5963,0.4791,0.7235
Wesleyan College,982,530,30878,19775,9336,7250,1,0.6389,0.5694
New Mexico State University-Main Campus,982,12886,17290,19644,4016,7954,0.9384,0.4328,0.7265
Lancaster Bible College,982,1212,27372,18270,12076,5605,0.3851,0.6952,0.3436
Moore College of Art and Design,982,437,47675,34048,23067,5557,0.1571,0.5758,0.6379
University of South Carolina-Upstate,982,4952,20848,20226,5701,6139,0.9656,0.405,0.4178
Northwood University-Florida,981,609,33485,22130,13200,6891,1,0.3525,0.4901
University of Saint Francis-Fort Wayne,981,1878,31516,25180,14943,5666,0.6219,0.5356,0.5629
Northwood University-Michigan,981,2920,32803,22130,11712,6534,1,0.5414,0.3208
Oklahoma Wesleyan University,981,1110,32241,22252,12207,5309,0.3077,0.5688,0.4634
Northwood University-Texas,981,645,31642,22130,9873,6060,1,0.3083,0.4372
Vanguard University of Southern California,980,2057,41952,29250,15125,7714,1,0.5232,0.5478
Shippensburg University of Pennsylvania,980,6493,20840,17916,7165,9483,0.7343,0.5483,0.7762
Radford University,980,8866,19987,21141,5606,7705,0.6762,0.5853,0.7162
Concord University,980,2474,17146,13490,2738,6123,0.5327,0.3576,0.7131
Fresno Pacific University,979,2496,33973,25716,14221,6562,0.8403,0.5412,0.2838
Grand View University,979,2079,31761,22628,13494,6421,0.4095,0.4795,0.4901
Friends University,977,1568,33388,23430,13821,6443,0.3392,0.3165,0.367
Valley Forge Christian College,977,767,29736,19394,13075,4733,1,0.4176,0.7016
Kentucky Christian University,976,547,29246,17418,8501,4594,1,0.3865,0.6355
Cleary University,976,450,17823,18720,13682,5403,0.0403,0.4423,0.3613
Lenoir-Rhyne University,976,1409,39425,29310,11750,6600,1,0.4877,0.73
Alvernia University,976,2169,39999,29060,16643,6152,1,0.5132,0.6695
California State University-Monterey Bay,976,5153,18479,17123,4501,7478,0.457,0.3828,0.4889
Purdue University-Calumet Campus,975,7466,16727,14966,6683,7937,0.9528,0.3131,0.3274
Franklin Pierce University,975,1664,44410,31000,12942,5299,0.3214,0.4409,0.8523
Keene State College,975,4643,24614,20161,11350,8750,0.4861,0.634,0.8788
Buffalo State SUNY,975,9190,18088,16382,3990,7444,0.4941,0.4892,0.5346
Lasell College,974,1667,43854,30000,17406,7409,0.3224,0.5294,0.8597
Northwest Christian University,974,478,34807,24930,9587,5040,0.9706,0.4615,0.5734
Lamar University,974,9175,21142,15925,6771,7689,0.7955,0.346,0.6095
Metropolitan State University of Denver,973,21696,14034,17837,5392,5904,1,0.2597,0.3384
Indiana University of Pennsylvania-Main Campus,973,12405,22936,20216,7816,9088,0.6653,0.5119,0.7801
Charleston Southern University,973,2904,33245,22090,11674,6087,0.5867,0.3615,0.6501
University of South Carolina-Aiken,973,2956,18466,18340,5206,6243,0.6145,0.4212,0.5485
Notre Dame de Namur University,972,1209,47115,31126,18965,8084,0.2827,0.4792,0.5
Colorado Mesa University,972,8733,18077,16748,6199,6428,0.4544,0.3005,0.7429
Chaminade University of Honolulu,972,1864,30801,20090,13775,8006,1,0.3843,0.5389
Ohio Valley University,971,394,27759,18750,9340,4740,0.2561,0.3645,0.6953
Auburn University at Montgomery,970,4322,16556,24950,7625,7173,0.9262,0.2705,0.533
Western Illinois University,970,9873,24375,15969,7597,8263,0.9028,0.561,0.5554
Midland University,970,1189,36214,27146,10948,5733,1,0.493,0.7429
Montclair State University,970,15182,22773,20196,8938,9661,0.3574,0.6339,0.6403
New York School of Interior Design,970,394,41178,26540,28158,6015,NA,0.5556,0.2079
Northeastern State University,970,7215,13296,12012,4087,5721,0.609,0.2969,0.3629
Eastern Washington University,970,11672,19831,19612,7467,7287,0.6404,0.4524,0.5104
Graceland University-Lamoni,969,1434,34494,23530,10433,4986,1,0.4704,0.4917
Tiffin University,969,3309,34771,20700,6222,6822,0.2264,0.461,0.4099
East Central University,969,3757,13735,12643,4410,5225,1,0.3384,0.5936
Louisiana College,968,1081,22940,14120,8282,5513,1,0.4251,0.755
Colorado State University-Pueblo,967,4375,18007,17649,5059,6619,0.4771,0.3306,0.6033
University of Hawaii at Hilo,967,3335,15284,18296,6601,8745,0.7556,0.3642,0.4025
Valley City State University,967,924,16086,14596,5331,5793,0.5772,0.462,0.3715
University of the Incarnate Word,967,6346,34487,24790,14974,7616,0.4557,0.4,0.527
California State University-San Marcos,966,10689,20386,17809,7628,8357,0.4852,0.4791,0.5496
Southern New Hampshire University,965,17172,39677,28884,10913,6991,1,0.542,0.2481
Plymouth State University,965,3986,24828,20030,11139,8065,0.4119,0.5596,0.7724
Angelo State University,965,5430,19511,15055,6454,6867,0.7851,0.2975,0.6785
Fairmont State University,965,3856,14710,12288,3141,6656,0.9405,0.3513,0.6149
Bay Path College,964,1454,40447,29959,14058,7754,0.2182,0.555,0.3261
Defiance College,964,871,38824,28690,12865,5811,0.3226,0.4558,0.7767
California University of Pennsylvania,964,6393,23081,13091,8093,9416,0.6737,0.4976,0.6295
Mansfield University of Pennsylvania,964,2640,21432,19316,6264,9064,0.6389,0.4962,0.7378
Frostburg State University,963,4575,19454,18376,4987,6570,0.6569,0.4655,0.6332
Southwestern Christian University,963,801,22983,14220,14390,4314,0.3373,0.2973,0.4423
Jefferson College of Health Sciences,963,810,31688,22400,16798,6610,0.5444,0.3974,0.2651
Indiana University-South Bend,962,5538,17377,17778,5333,5575,0.5782,0.258,0.2941
Husson University,962,2290,25019,15130,14005,6539,0.3693,0.4654,0.688
Daniel Webster College,962,626,27321,15630,13033,5077,0.3222,0.5356,0.6623
Methodist University,961,2172,45011,27830,13883,6726,0.6853,0.4249,0.6143
Tusculum College,961,1844,32783,22250,9276,4906,1,0.3391,0.7985
Saint Joseph's College of Maine,960,1276,43119,30990,12041,5824,1,0.5543,0.5353
Chestnut Hill College,960,1510,42663,31170,14874,6218,0.2353,0.4188,0.4408
Texas A & M University-Corpus Christi,960,9137,17782,15668,6678,7505,0.6801,0.4021,0.6783
Kutztown University of Pennsylvania,959,8538,23130,18943,7387,8599,0.9149,0.5482,0.7086
Mary Baldwin College,959,1307,39432,28720,11530,6471,0.2721,0.3908,0.5636
Brenau University,957,1683,34107,23350,12867,6737,0.4601,0.4554,0.3814
East Texas Baptist University,957,1132,30172,22590,12202,6153,0.7653,0.3333,0.6982
Mount Mary University,957,811,33166,25098,14521,5671,0.8642,0.4118,0.4363
Centenary College,956,1708,44586,30540,15624,6656,1,0.5673,0.5691
Southeastern University,955,2633,30333,19986,12284,6899,1,0.3835,0.5584
Shorter University,954,1518,30642,19670,9161,5154,0.6753,0.4638,0.6993
Purdue University-North Central Campus,954,3514,13713,17105,4733,6971,0.9619,0.2638,0.2281
Barclay College,954,233,24990,14090,15136,4622,0.9565,0.5946,0.4568
Eastern Nazarene College,954,1313,36567,27922,11697,5561,0.3112,0.5,0.75
Regis College,954,1188,47432,34380,17595,7055,1,0.4867,0.821
Pfeiffer University,954,947,34515,24150,11155,5808,0.6667,0.4815,0.6916
Castleton State College,954,2022,20799,24014,12064,6175,1,0.5149,0.7465
California State University-Channel Islands,954,4950,22570,17631,5852,8434,0.4741,0.5156,0.4676
Shorter University-College of Adult & Professional Programs,954,922,31260,8160,13904,4345,0.3582,0.549,NA
Howard Payne University,953,1059,32861,23200,11845,5553,1,0.4196,0.788
Texas Woman's University,953,9220,16345,17965,5374,7511,0.9718,0.4146,0.4192
Spalding University,952,1277,31021,22425,14240,7132,0.5263,0.4019,0.5
Hope International University,951,872,40303,26050,11581,5232,0.9,0.4508,0.3439
University of West Alabama,950,1988,17959,14170,9161,6408,0.5404,0.3161,0.5887
University of Saint Joseph,950,971,42885,33417,16296,8193,0.942,0.5212,0.612
Georgia Southwestern State University,950,2598,17839,14797,4347,5689,0.9658,0.3582,0.4239
University of West Georgia,950,9777,18879,15903,5394,5787,0.8225,0.4287,0.7004
Indiana University-Kokomo,950,2708,15874,17778,4930,5680,0.5093,0.2756,0.2485
Indiana University-Southeast,950,5699,16753,17778,5156,6539,1,0.3014,0.4914
