INSTNM,SAT_AVG,UGDS,COSTT4_A,TUITIONFEE_OUT,TUITFTE,AVGFACSAL,PFTFAC,C150_4,PFTFTUG1_EF
North Carolina State University at Raleigh,1229,22977,20511,21661,7952,9774,0.8813,0.7359,0.7328
University of San Diego,1228,5573,56346,41392,25057,11648,0.4518,0.7502,0.7651
CUNY Bernard M Baruch College,1225,13698,15112,12720,6305,8651,0.4624,0.6687,0.3898
DigiPen Institute of Technology,1225,894,37848,26720,18204,7659,0.5104,0.5422,0.5034
St Mary's College of Maryland,1221,1794,29174,28664,12390,6981,0.7416,0.7931,0.7706
Virginia Polytechnic Institute and State University,1220,23928,25513,27211,11414,10146,0.9812,0.8243,0.831
Yeshiva University,1217,2887,53825,37600,22428,5086,0.6916,0.8519,0.9663
Marquette University,1217,8190,46649,34640,20795,9665,0.5544,0.7824,0.8852
University of Dallas,1216,1374,47437,33110,15224,7217,0.5202,0.6602,0.8636
Auburn University,1215,19761,23788,26364,13186,9429,0.878,0.6792,0.7679
University of Connecticut,1215,17684,25786,30970,11188,11500,0.9612,0.8323,0.7939
Baylor University,1215,13221,51086,35972,19090,8793,0.8148,0.7472,0.8573
University of Connecticut-Tri-Campus,1215,2382,13099,29004,2077,12909,0.9375,0.5029,0.7311
University of Connecticut-Avery Point,1215,645,12946,29004,6277,14803,0.9375,0.4796,0.7308
University of Connecticut-Stamford,1215,1224,13028,29014,2653,14803,0.9375,0.6243,0.5649
Taylor University,1214,1873,38845,28753,16421,6365,0.6293,0.7415,0.6892
Creighton University,1214,3943,46248,34330,23306,9081,0.6756,0.7592,0.8086
Soka University of America,1213,412,40842,29144,3809,10523,0.6986,0.8416,1
University of California-Santa Barbara,1212,19362,31913,36624,13553,13048,0.834,0.807,0.7513
Florida State University,1212,32086,20774,21673,5723,9706,0.8017,0.7688,0.7025
Butler University,1212,3998,47010,34368,19522,7980,1,0.7386,0.7528
Purdue University-Main Campus,1211,30167,23109,28794,15256,11005,0.9449,0.6994,0.8429
University of Maryland-Baltimore County,1209,11012,22024,21642,8524,8985,0.6977,0.6458,0.5568
University of Massachusetts-Amherst,1209,21672,25665,28159,11566,11354,0.802,0.7266,0.7207
Chapman University,1208,5940,57020,43573,24444,11095,1,0.761,0.7448
University of Iowa,1208,21314,21832,26931,13317,10194,0.8637,0.6962,0.7179
Michigan Technological University,1206,5536,24724,28608,12730,9142,0.8587,0.6453,0.8391
Texas Christian University,1206,8597,48189,36590,23965,10206,0.9804,0.76,0.8192
Brite Divinity School,1206,NA,NA,NA,5579,9001,1,NA,NA
VanderCook College of Music,1205,104,37343,24890,14973,7625,1,0.6923,0.3261
Gonzaga University,1204,4830,46475,35062,18962,8626,0.5886,0.8228,0.8556
University of Washington-Seattle Campus,1203,28754,24606,31971,17091,10461,0.7258,0.8183,0.7324
University of Washington-Bothell Campus,1203,4077,22800,31485,4068,9302,0.6263,0.6757,0.4156
University of Washington-Tacoma Campus,1203,3587,22185,31476,4165,8510,0.6957,0.4943,0.3297
Loyola Marymount University,1202,6087,55432,40265,29076,10098,0.5352,0.7583,0.7605
New Mexico Institute of Mining and Technology,1200,1490,17600,17073,5159,6908,0.6158,0.4417,0.7166
