GEOID,long,lat,Tract,Boroughs,Total population,Percent Male,Over_16_year,Over_18_year,Over_60_year,Median_Household_Income,Percentage_college_degree,Unemployment_rate,Race_White,Race_Black,Race_NativeAmerican,Race_Asian,Race_Other,Schools,Recreational,Criminal_Justice,Health,Pharmacy,Mental_Heath,Disabilities,Daycare,Senior_homes,Homeless_shelters,Transport,Waste_Management,BURGLARY,FELONY_ASSAULT,GRAND_LARCENY,GRAND_LARCENY_ MOTOR_VEHICLE,MURDER,RAPE,ROBBERY,Total_Felony,FelonyBucket
36005004400,-73.86751236,40.82655014,44,Bronx,4830,43.3126294,78.1,74,20.7,23102,33.1,26,12%,40%,0%,5%,42%,0,0,0,0,0,0,0,0,0,0,0,0,4,11,10,5,0,0,7,37,5
36005004600,-73.86941938,40.82316386,46,Bronx,1659,46.41350211,79.4,76.7,27.3,44297,48.5,12.4,26%,39%,1%,0%,35%,2,0,0,0,0,0,0,0,0,0,0,0,5,22,17,4,2,22,15,87,7
36005004800,-73.87392442,40.82688142,48,Bronx,4024,53.55367793,76.8,73,16.3,24437,19.4,9.8,14%,22%,0%,4%,60%,0,0,0,0,0,0,0,0,0,0,0,0,3,25,13,5,1,0,19,66,7
36005005001,-73.87805623,40.82505862,50.01,Bronx,5040,43.98809524,74.6,70.3,13.1,31250,28.9,15.6,10%,46%,0%,0%,44%,0,0,0,0,0,0,0,0,0,0,0,0,1,17,5,4,0,0,8,35,5
36005005002,-73.87843813,40.82748007,50.02,Bronx,5791,52.11535141,79.3,74.3,10.2,29338,30.1,11.6,18%,20%,2%,3%,57%,0,0,0,0,0,0,0,0,0,0,0,0,6,16,9,2,0,0,26,59,6
36005005100,-73.92840354,40.81289817,51,Bronx,5814,42.26006192,74.4,70.6,13,20233,28.3,21.7,13%,38%,2%,0%,47%,0,0,2,0,0,0,1,2,0,1,0,0,6,30,39,8,0,0,21,104,7
36005005200,-73.88271792,40.825531,52,Bronx,2128,46.9924812,77.1,74.9,23.3,16810,39.5,19.6,17%,27%,0%,2%,54%,0,0,0,0,0,0,0,0,0,0,0,0,9,4,7,5,0,0,4,29,4
36005005300,-73.92173057,40.85239417,53,Bronx,3305,41.66414523,71.8,68.7,8.9,16173,55.4,30.6,5%,55%,2%,0%,38%,2,1,2,3,2,0,1,7,0,1,14,3,4,19,4,0,0,0,8,35,5
36005005400,-73.88019652,40.82971913,54,Bronx,6334,49.35269972,76.4,75.5,10.9,32254,41.6,8.3,16%,27%,0%,2%,55%,0,1,0,0,0,1,1,0,0,0,0,0,9,35,20,8,0,0,29,101,7
36005005600,-73.8790848,40.8324724,56,Bronx,2391,43.74738603,77.9,75.1,25.5,17708,45.3,16.3,16%,26%,0%,2%,57%,0,0,0,0,0,0,0,0,0,0,0,0,3,8,6,3,0,0,6,26,4
36005005902,-73.92332714,40.82409664,59.02,Bronx,2856,44.64285714,82.9,79.3,20,38244,22.1,15.8,16%,32%,2%,0%,50%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,2,9,1
36005006000,-73.87790448,40.83754079,60,Bronx,1192,47.65100671,77.7,74.8,11.7,43125,43.9,5.6,12%,19%,0%,1%,68%,2,0,0,0,0,0,1,1,0,1,0,0,1,3,5,0,0,0,5,14,2
36005006100,-73.92284269,40.82208047,61,Bronx,4007,39.6556027,88.4,86.6,38.5,47993,67.4,11.5,4%,85%,0%,0%,11%,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,0,0,9,21,4
36005006200,-73.8755599,40.83362117,62,Bronx,7682,51.65321531,77,71.4,15,24668,43.8,13.3,9%,39%,0%,0%,52%,2,0,0,0,0,0,3,2,0,0,0,0,6,40,13,3,1,0,19,82,7
36005006300,-73.92997536,40.8239668,63,Bronx,4480,49.19642857,79.9,77.9,18.9,33809,37.5,13.9,29%,27%,1%,9%,34%,2,0,1,1,0,0,0,4,0,0,0,1,14,48,97,9,2,0,30,200,7
36005006400,-73.87284018,40.83340082,64,Bronx,3565,50.07012623,74.9,73.8,13.5,27048,42.4,13.4,18%,35%,1%,6%,40%,0,0,0,0,0,0,3,3,0,0,0,0,3,4,11,2,0,0,12,32,5
36005006500,-73.92142106,40.81764384,65,Bronx,5847,48.98238413,70.9,68.9,8.8,21959,27.6,13.6,13%,38%,0%,1%,48%,0,0,0,0,0,0,0,0,1,0,0,0,11,44,87,4,0,0,31,177,7
36005006700,-73.91803304,40.81983368,67,Bronx,7782,40.00257003,71.6,68.6,14,21443,41.9,17,13%,38%,5%,0%,44%,1,1,0,0,0,0,0,2,0,0,0,0,12,27,22,5,2,0,31,99,7
36005006800,-73.871008,40.8289033,68,Bronx,2976,53.46102151,72.6,69,16.4,31607,42.5,12.1,11%,36%,0%,4%,48%,2,0,0,0,0,1,7,1,0,0,0,0,6,9,21,1,0,0,19,56,6
36005006900,-73.91657915,40.82186923,69,Bronx,7769,43.89239284,67.5,64.9,12.4,19824,17.6,18.1,10%,45%,1%,2%,42%,6,0,0,2,0,0,1,7,0,0,0,0,8,21,24,3,0,0,13,69,7
36005007000,-73.86598518,40.82974976,70,Bronx,4646,47.52475248,72.9,69.7,14.7,33712,21.3,13,20%,25%,2%,9%,44%,1,0,2,0,0,0,2,0,0,0,0,0,9,11,15,3,0,0,13,51,6
36005007100,-73.91258353,40.81902082,71,Bronx,2358,43.76590331,74.3,71.7,12,39792,51.3,18.5,13%,45%,1%,0%,40%,0,0,0,0,0,0,0,0,1,1,0,4,9,24,27,5,1,0,13,79,7
36005007200,-73.86046736,40.8317116,72,Bronx,5981,50.22571476,75.9,73.6,15.8,44844,41.6,7.1,16%,18%,0%,20%,47%,1,0,0,0,0,0,2,0,0,0,0,0,9,14,14,0,0,0,19,56,6
36005007300,-73.90966757,40.81483848,73,Bronx,3735,48.38018742,68.3,67.6,10.7,20678,55.4,17.1,9%,37%,0%,0%,54%,0,0,0,0,0,0,0,0,0,0,0,0,10,25,16,4,1,0,19,75,7
36005007400,-73.85291572,40.81945306,74,Bronx,3724,46.32116004,80.5,77.3,20.7,44836,41.7,9.4,26%,30%,0%,0%,44%,2,0,0,2,0,0,1,0,0,0,0,0,6,5,10,5,0,0,11,37,5
36005007500,-73.90856671,40.81877282,75,Bronx,4932,38.70640714,73.6,68.5,18,22055,24.3,6.1,13%,43%,0%,0%,44%,2,0,0,0,0,0,1,1,0,0,0,0,3,21,13,6,1,0,18,62,7
36005007600,-73.86724305,40.83348214,76,Bronx,5853,50.84572014,74.1,72.3,10.3,41983,32.7,8.8,21%,23%,1%,7%,47%,0,0,0,0,1,0,0,0,1,0,0,0,6,25,24,5,0,0,24,84,7
36005007700,-73.90476944,40.819539,77,Bronx,1904,44.85294118,73.9,70.3,10.1,26011,42.3,14.5,12%,28%,0%,0%,61%,3,0,1,0,0,0,3,2,0,0,0,1,3,6,10,2,0,0,10,31,5
36005007800,-73.85270854,40.82966335,78,Bronx,6868,48.80605708,74.7,69.8,11.8,34095,20.8,17,18%,24%,0%,9%,49%,0,1,2,0,0,0,1,2,0,0,0,0,11,15,17,10,0,0,10,63,7
36005007900,-73.90499186,40.81614643,79,Bronx,6099,45.07296278,72.1,70.2,14.1,23472,40,21.2,18%,32%,0%,0%,50%,0,0,0,0,0,0,0,0,0,0,0,1,6,27,11,6,1,0,23,74,7
36005008300,-73.90200309,40.81401545,83,Bronx,5974,44.39236692,71.4,68.9,11.8,19409,47.2,16.6,10%,30%,0%,0%,60%,0,0,0,0,0,0,0,0,0,0,0,0,4,9,12,3,0,0,8,36,5
36005008400,-73.8476865,40.81560582,84,Bronx,2447,44.74867184,74.6,73.2,13.7,52234,55.7,10.1,15%,39%,2%,1%,43%,3,0,1,2,1,0,0,0,0,1,2,2,4,1,4,3,0,0,1,13,2
36005008500,-73.89949917,40.81674074,85,Bronx,6324,55.24984187,77,73.1,17.6,24583,33.4,14.3,12%,22%,0%,1%,65%,0,0,0,0,0,0,0,0,1,0,0,0,5,16,12,4,0,0,20,57,6
36005008600,-73.84999383,40.81992133,86,Bronx,3916,42.67109295,79.8,75.9,14.2,21313,40.3,12.2,29%,31%,0%,3%,37%,0,0,0,0,0,0,0,0,0,0,0,0,4,21,7,3,0,0,10,45,6
36005008700,-73.89783891,40.8197743,87,Bronx,6406,47.64283484,74.5,72,14.2,28875,39.2,9,15%,24%,0%,0%,61%,0,0,0,0,0,0,0,0,0,0,0,0,5,38,22,2,0,0,12,79,7
36005008900,-73.89443221,40.818131,89,Bronx,3540,47.74011299,72.9,68.5,14.9,19210,25.6,17.3,18%,24%,1%,0%,57%,0,0,0,0,0,0,0,0,0,0,0,0,7,11,18,4,0,12,7,59,6
36005009000,-73.84063752,40.81848566,90,Bronx,3824,45.13598326,76.6,74.1,13.9,27802,39.6,13.1,35%,36%,0%,4%,26%,0,0,0,0,0,0,0,0,0,0,0,0,6,24,20,5,0,0,15,70,7
36005009200,-73.85246431,40.83229486,92,Bronx,5397,45.56234945,76.7,73.6,12.7,42708,58.9,15,17%,14%,0%,15%,55%,1,0,0,1,0,0,0,5,0,0,0,0,10,13,19,6,0,0,11,59,6
36005009300,-73.88812878,40.81056773,93,Bronx,6265,56.52035116,76.8,74.2,8.9,30483,25.9,11.7,24%,29%,0%,0%,47%,0,0,0,0,0,0,0,0,0,0,0,0,44,22,28,10,0,0,7,111,7
36005009600,-73.84403312,40.834042,96,Bronx,2557,52.32694564,76.4,73.2,20.3,41156,52.7,22,15%,19%,0%,18%,49%,0,0,0,0,0,0,0,0,0,0,0,0,6,4,12,4,0,0,1,27,4
36005009800,-73.84963328,40.82635528,98,Bronx,4922,44.18935392,82.8,78.6,19,54974,38.8,12.3,34%,30%,0%,3%,33%,1,0,0,3,0,2,0,2,0,1,0,0,11,12,8,6,0,0,4,41,6
36005011000,-73.83217886,40.81822432,110,Bronx,205,45.85365854,100,100,0,46573,90,7.5,0%,0%,0%,0%,100%,3,0,0,0,0,0,0,2,0,0,1,0,1,4,2,0,0,0,0,7,1
36005011502,-73.88667834,40.820072,115.02,Bronx,4446,44.12955466,69.8,66.8,10.8,21311,29.6,23.8,25%,37%,0%,1%,37%,0,0,0,0,0,0,0,0,0,0,0,0,6,33,10,6,0,0,13,68,7
36005011700,-73.88032588,40.81185221,117,Bronx,1512,49.73544974,75.9,72.2,10.6,24861,29.1,19.2,27%,34%,0%,1%,38%,0,0,0,0,0,0,0,0,0,0,0,1,7,11,16,5,1,0,4,44,6
36005011800,-73.80307702,40.81278616,118,Bronx,5328,59.02777778,85.3,84,19.3,77212,65.3,5.9,84%,2%,0%,4%,9%,1,0,0,4,0,1,0,2,0,1,0,2,8,1,5,5,0,0,0,19,3
36005011900,-73.88929414,40.82336086,119,Bronx,5570,49.42549372,71.3,68.4,11.2,23926,31.7,16.5,11%,36%,1%,0%,52%,2,0,0,2,1,0,0,1,0,1,1,7,10,18,22,6,0,0,21,77,7
36005012101,-73.88864333,40.8283284,121.01,Bronx,3014,46.05175846,72.4,68,6.6,31058,33.7,8.9,14%,28%,0%,3%,56%,0,0,0,0,0,0,0,0,0,0,0,0,5,1,5,4,0,0,9,24,4
36005012102,-73.88866379,40.82583664,121.02,Bronx,1485,37.57575758,71.4,68.8,12.3,17800,29.7,17.2,15%,19%,0%,1%,66%,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,5,11,2
