"","Group.1","long","lat"
"116",36005019500,-73.9226878333333,40.8302411111111
"117",36005019700,-73.9201017647059,40.8354918823529
"118",36005019900,-73.92589135,40.83673155
"119",36005020000,-73.8457333333333,40.8432028571429
"120",36005020100,-73.9272963846154,40.8426246153846
"121",36005020200,-73.8477652222222,40.8386183888889
"122",36005020400,-73.8509888095238,40.8409881428571
"123",36005020501,-73.9239804883721,40.846765627907
"124",36005020502,-73.9197619375,40.8514510625
"125",36005020601,-73.8508601111111,40.8370816666667
"126",36005020900,-73.9152091304348,40.8430052173913
"127",36005021001,-73.8583006666667,40.8404203333333
"128",36005021002,-73.8575862352941,40.8386510294118
"129",36005021100,-73.9234384090909,40.8407976818182
"130",36005021200,-73.8591895714286,40.8365802380952
"131",36005021301,-73.9201677916667,40.8454101666667
"132",36005021302,-73.9202313888889,40.8433967222222
