id,Tract,Boroughs,Over_18_year,Over_60_year,Median_Household_Income,Percentage_college_degree,Unemployment_rate,Race_White,Race_Black,Race_NativeAmerican,Race_Asian,Race_Other,Schools,Recreational,Criminal_Justice,Health,Pharmacy,Mental_Heath,Disabilities,Daycare,Senior_homes,Homeless_shelters,Transport,Waste_Management,Crime_Rate
36005006800,68,Bronx,0.50,0.16,31607.00,0.43,0.12,0.11,0.36,0.00,0.04,0.48,2.00,0.00,0.00,0.00,0.00,1.00,7.00,1.00,0.00,0.00,0.00,0.00,0.02
36005006900,69,Bronx,0.44,0.12,19824.00,0.18,0.18,0.10,0.45,0.02,0.02,0.42,6.00,0.00,0.00,2.00,0.00,0.00,1.00,7.00,0.00,0.00,0.00,0.00,0.01
36005007000,70,Bronx,0.51,0.15,33712.00,0.21,0.13,0.20,0.25,0.04,0.10,0.44,1.00,0.00,2.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.01
36005007100,71,Bronx,0.55,0.12,39792.00,0.51,0.19,0.13,0.45,0.02,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,4.00,0.03
36005007200,72,Bronx,0.58,0.16,44844.00,0.42,0.07,0.16,0.18,0.00,0.22,0.47,1.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.01
36005007300,73,Bronx,0.48,0.11,20678.00,0.55,0.17,0.09,0.37,0.00,0.00,0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02
36005007400,74,Bronx,0.64,0.21,44836.00,0.42,0.09,0.26,0.30,0.00,0.00,0.44,2.00,0.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.01
36005007500,75,Bronx,0.50,0.18,22055.00,0.24,0.06,0.13,0.43,0.00,0.00,0.44,2.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.01
36005007600,76,Bronx,0.56,0.10,41983.00,0.33,0.09,0.21,0.23,0.02,0.08,0.47,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.01
36005007700,77,Bronx,0.52,0.10,26011.00,0.42,0.15,0.12,0.28,0.00,0.00,0.61,3.00,0.00,1.00,0.00,0.00,0.00,3.00,2.00,0.00,0.00,0.00,1.00,0.02
36005007800,78,Bronx,0.52,0.12,34095.00,0.21,0.17,0.18,0.24,0.00,0.10,0.49,0.00,1.00,2.00,0.00,0.00,0.00,1.00,2.00,0.00,0.00,0.00,0.00,0.01
36005007900,79,Bronx,0.52,0.14,23472.00,0.40,0.21,0.18,0.32,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.01
36005008300,83,Bronx,0.50,0.12,19409.00,0.47,0.17,0.10,0.30,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
36005008400,84,Bronx,0.57,0.14,52234.00,0.56,0.10,0.15,0.39,0.04,0.01,0.43,3.00,0.00,1.00,2.00,1.00,0.00,0.00,0.00,0.00,1.00,2.00,2.00,0.01
36005008500,85,Bronx,0.57,0.18,24583.00,0.33,0.14,0.12,0.22,0.00,0.01,0.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.01
36005008600,86,Bronx,0.61,0.14,21313.00,0.40,0.12,0.29,0.31,0.00,0.03,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
36005008700,87,Bronx,0.55,0.14,28875.00,0.39,0.09,0.15,0.24,0.00,0.00,0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
36005008900,89,Bronx,0.50,0.15,19210.00,0.26,0.17,0.18,0.24,0.02,0.00,0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02
36005009000,90,Bronx,0.58,0.14,27802.00,0.40,0.13,0.35,0.36,0.00,0.04,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02
36005009200,92,Bronx,0.58,0.13,42708.00,0.59,0.15,0.17,0.14,0.00,0.16,0.55,1.00,0.00,0.00,1.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.01
36005009300,93,Bronx,0.59,0.09,30483.00,0.26,0.12,0.24,0.29,0.00,0.00,0.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02
36005009600,96,Bronx,0.57,0.20,41156.00,0.53,0.22,0.15,0.19,0.00,0.20,0.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
36005009800,98,Bronx,0.66,0.19,54974.00,0.39,0.12,0.34,0.30,0.00,0.03,0.33,1.00,0.00,0.00,3.00,0.00,2.00,0.00,2.00,0.00,1.00,0.00,0.00,0.01
36005011000,110,Bronx,1.00,0.00,46573.00,0.90,0.08,0.00,0.00,0.00,0.00,1.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,1.00,0.00,0.03
36005011502,115.02,Bronx,0.47,0.11,21311.00,0.30,0.24,0.25,0.37,0.00,0.01,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02
36005011700,117,Bronx,0.55,0.11,24861.00,0.29,0.19,0.27,0.34,0.00,0.01,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.03
36005011800,118,Bronx,0.74,0.19,77212.00,0.65,0.06,0.84,0.02,0.00,0.04,0.09,1.00,0.00,0.00,4.00,0.00,1.00,0.00,2.00,0.00,1.00,0.00,2.00,0.00
36005011900,119,Bronx,0.49,0.11,23926.00,0.32,0.17,0.11,0.36,0.02,0.00,0.52,2.00,0.00,0.00,2.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,7.00,0.01
36005012101,121.01,Bronx,0.49,0.07,31058.00,0.34,0.09,0.14,0.28,0.00,0.03,0.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
36005012102,121.02,Bronx,0.50,0.12,17800.00,0.30,0.17,0.15,0.19,0.00,0.01,0.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
36005012300,123,Bronx,0.45,0.10,20671.00,0.15,0.17,0.06,0.32,0.02,0.01,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
36005012500,125,Bronx,0.47,0.11,25317.00,0.26,0.16,0.11,0.33,0.04,0.00,0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
36005012701,127.01,Bronx,0.62,0.20,19922.00,0.30,0.17,0.19,0.27,0.00,0.02,0.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03
36005012901,129.01,Bronx,0.42,0.11,17500.00,0.43,0.14,0.09,0.46,0.00,0.05,0.40,2.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.02
36005013000,130,Bronx,0.84,0.29,78102.00,0.77,0.05,0.76,0.04,0.00,0.00,0.20,2.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,1.00,3.00,0.00,0.00,0.01
36005013100,131,Bronx,0.52,0.09,29254.00,0.51,0.10,0.10,0.30,0.00,0.01,0.59,1.00,0.00,0.00,1.00,0.00,0.00,3.00,4.00,0.00,0.00,0.00,0.00,0.01
36005013200,132,Bronx,0.73,0.26,92855.00,0.44,0.10,0.48,0.11,0.00,0.07,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
36005013300,133,Bronx,0.59,0.16,27742.00,0.30,0.15,0.06,0.39,0.00,0.01,0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.01
36005013500,135,Bronx,0.53,0.16,22839.00,0.22,0.16,0.09,0.37,0.00,0.00,0.54,1.00,0.00,0.00,1.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.01
36005013800,138,Bronx,0.62,0.19,82941.00,0.46,0.10,0.74,0.06,0.00,0.03,0.17,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00
36005014100,141,Bronx,0.50,0.11,31424.00,0.44,0.16,0.22,0.39,0.04,0.01,0.35,1.00,0.00,0.00,1.00,0.00,0.00,0.00,7.00,1.00,1.00,0.00,0.00,0.02
36005014300,143,Bronx,0.54,0.23,12083.00,0.28,0.15,0.15,0.45,0.02,0.04,0.35,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.03
36005014400,144,Bronx,0.42,0.17,19994.00,0.34,0.16,0.23,0.39,0.07,0.01,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
36005014500,145,Bronx,0.39,0.10,21545.00,0.42,0.21,0.08,0.44,0.02,0.00,0.47,1.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.01
36005014701,147.01,Bronx,0.45,0.14,17300.00,0.25,0.24,0.11,0.52,0.00,0.00,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
36005014702,147.02,Bronx,0.44,0.12,17509.00,0.25,0.25,0.06,0.54,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
36005014900,149,Bronx,0.50,0.09,23674.00,0.38,0.18,0.08,0.41,0.00,0.00,0.51,1.00,0.00,0.00,1.00,0.00,1.00,2.00,6.00,0.00,1.00,0.00,0.00,0.01
36005015100,151,Bronx,0.53,0.13,29699.00,0.41,0.14,0.11,0.44,0.00,0.00,0.44,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.01
36005015200,152,Bronx,0.59,0.23,58929.00,0.26,0.08,0.42,0.15,0.02,0.05,0.36,1.00,0.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
36005015300,153,Bronx,0.43,0.14,19803.00,0.39,0.14,0.13,0.45,0.02,0.01,0.40,1.00,1.00,0.00,4.00,0.00,1.00,0.00,2.00,1.00,0.00,0.00,0.00,0.01
